Input	Sum	SNoRec	Grim	SumAlt
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	0	0	0
14	0	0	0	0
15	0	0	0	0
16	0	0	0	0
17	0	0	0	0
18	0	0	0	0
19	0	0	0	0
20	0	0	0	0
21	0	0	0	0
22	0	0	0	0
23	0	0	0	0
24	0	0	0	0
25	0	0	0	0
26	0	0	0	0
27	0	0	0	0
28	0	0	0	0
29	0	0	0	0
30	0	0	0	0
31	0	0	0	0
32	0	0	0	0
33	0	0	0	0
34	0	0	0	1
35	1	1	1	1
36	2	2	2	2
37	3	3	3	4
38	5	5	5	7
39	9	9	9	11
40	14	14	14	18
41	24	24	24	29
42	38	38	38	47
43	62	62	62	77
44	101	101	101	125
45	164	164	164	203
46	266	266	266	328
47	430	430	430	533
48	697	697	697	863
49	1127	1127	1127	1392
50	1823	1823	1823	2253
